Plot,CO2Tmt,screen,time,A,B,C,D,E,F,G,H,I,J,K,L
Plot 1,A,i,6:05,11.5,12.7,10.9,13.7,13.3,11.8,11.8,10.7,12.5,12,11.7,12.6
Plot 1,A,o,6:08,16.6,15.5,15.7,16.7,17.4,17.3,15.4,18.2,15.3,17.2,18.5,18.2
Plot 2,E,i,6:11,12.8,14.2,13.4,14.8,15,15.3,15.2,13.3,15.1,15.3,14.4,15
Plot 2,E,o,6:14,18.5,18.8,17.4,19.7,19.8,20.7,20.2,18.9,20.2,20.4,20.9,20.8
Plot 3,A,o,6:16,21.4,21.7,21.4,21.9,21.3,21.8,21.8,23.1,21.4,20.1,23.8,20.6
Plot 3,A,i,6:18,14.6,16.7,14.7,17,17.4,18.1,16.8,17.9,17.1,18.7,17.6,17.6
Plot 4,E,o,6:22,21.1,21,21.4,22.2,20.9,21.1,21.1,22.1,19.9,21.2,21.6,20.5
Plot 4,E,i,6:25,18.9,21.3,20.6,21.3,21.3,21.1,22.5,19.3,20.6,21,19.2,19.5
Plot 1,A,o,7:43,287.2,190.8,114.6,217.4,333.7,353.3,301.7,360,371.9,314.4,480.6,288.2
Plot 1,A,i,7:48,62.4,122.2,81.8,117.3,175.8,104.6,176.8,78.9,129.8,153.5,97.6,127.9
Plot 2,E,o,7:51,94.2,214,61.7,71,501.8,116.9,355.2,86.7,91.3,361.2,358.4,253.8
Plot 2,E,i,7:54,64.9,77.9,79.3,87.6,103.7,97.7,121.2,106.6,164.5,235.4,101.3,254.8
Plot 3,A,o,7:57,106.7,699.3,770,805.7,477.3,807.4,814.8,783.5,644.1,461,463.9,667.4
Plot 3,A,i,8:00,43.4,50.1,45.8,51.7,49.8,49,47.9,50.4,57.4,54.7,50.2,56
Plot 4,E,o,8:03,58.4,55.8,60.5,57.2,55.5,76.7,54.4,109.5,53.9,47.3,48.9,49.6
Plot 4,E,i,8:05,48.5,55.9,51.3,55.8,54.8,53.2,55.6,55.8,55.3,49.4,46.9,46
Plot 1,A,o,9:45,1165,970.2,1259,1123.5,1302.4,1103.6,1254,1301,997.3,1135.2,1252.5,1184.9
Plot 1,A,i,9:46,778.8,1604.9,797.7,866.2,1687.1,832.7,1449.6,940.2,944.6,1393.4,1000.2,1099.9
Plot 2,E,o,9:53,1344.3,1227.1,1408.2,1277.5,1198.4,1467.4,1226.1,1342,1252.1,1244.7,1462.7,1405.9
Plot 2,E,i,9:56,977.2,924.5,848.6,699.7,1438.4,1033.5,1492.4,385.5,1535.3,1515.4,688.5,1563.6
Plot 3,A,o,9:58,1213.2,1353.6,1534.7,1482.2,1272.6,1380.5,1432.7,1292.7,1235.4,1127.3,1377.3,1248.7
Plot 3,A,i,10:01,698.5,1489.2,822.2,1284.9,1441.8,851.4,1514.8,439.2,674.8,1567.2,909.9,938.5
Plot 4,E,o,10:06,1361.9,1090.7,1378.2,1166.7,1254.6,1372.5,1292.3,1399.5,1338.4,1294,1399.1,1298.2
Plot 4,E,i,10:09,1513.5,1559,788.6,1405.2,450.1,822,1399.1,817.7,723.2,1506.3,381.9,750.5
Plot 1,A,o,11:43,1551,1595.4,1604,1570.6,1597,1502.5,1476.1,1593,1555.8,1510.3,1648.2,1548.8
Plot 1,A,i,11:45,1639.8,1642,1688.6,1643.1,1729.6,1652,1702.5,1803.2,1653.5,1907,1715,1973.9
Plot 2,E,o,11:48,1613.1,1622.8,1638.7,1610.6,1547.1,1632.3,1590.9,1616.3,1610.1,1607.4,1654.1,1607.2
Plot 2,E,i,11:51,532.9,1660,1340.5,1577.4,1671.7,1597.9,1680.2,1727,1636.6,1750.2,1744.9,1764.1
Plot 3,A,o,11:55,1629.2,1655.4,1681.8,1661.5,1617.8,1682.5,1591.5,1573.4,1635.3,1623.3,1662.8,1563.4
Plot 3,A,i,11:57,1755.2,1801.1,1929.3,1689.3,1731.8,1766.2,1621.3,1823.1,1652,1671.7,1744,1812.5
Plot 4,E,o,12:01,1530,1537.2,1606.1,1537.8,1546.3,620.7,1657.5,1651.8,1636.6,1626,1633.2,1622
Plot 4,E,i,12:03,1755.6,1669.5,1815,1657.3,1676.3,1631.1,1644.4,1831.4,1573.1,1992.7,1585.8,1724.1
Plot 1,A,o,13:47,1203.7,387.2,1153.8,265.5,303.7,786,594,1390.8,743.5,838.7,1302.2,1225.2
Plot 1,A,i,13:50,342.5,152.7,735.5,154.6,140.3,348.9,198.2,555.3,151.6,250.3,362.8,182.9
Plot 2,E,o,13:53,1614,1619,1565.1,1551.6,1501.7,1512,1561.7,1493,1545.2,1610.3,1479.7,1621.6
Plot 2,E,i,13:55,1644.8,1686.9,1513.1,1617.8,1615,1535.5,1610.6,1687.1,1577.8,1535.9,1725.2,1639.3
Plot 3,A,o,13:58,1446.9,1542.5,1530.8,1517.1,1584.1,1611.5,1507.4,1502.3,1607,1522.8,1522.6,1525.8
Plot 3,A,i,14:01,1742.3,1868,1649.3,1612.3,1765,1715,1588,1799.2,1622.8,1689.5,1748.2,1692.8
Plot 4,E,o,14:04,1585,1520.7,1578.2,1424.5,1480.3,1586.7,1586.1,1523.7,1596,1586.5,1604,1568
Plot 4,E,i,14:06,761.5,922.6,1674.4,1764.3,921.4,1650.3,1594.5,1665.3,1686.3,1612.3,1708.9,1712.9
Plot 1,A,o,15:45,1268,1358.5,1392.1,1358.5,1425.3,1204.5,1265.6,1272.4,1395.3,1284.5,1388.7,1213.6
Plot 1,A,i,15:47,922.9,965.8,1466,934.1,804.2,1552.2,918.4,1504.4,1499.3,862.6,1412.8,572.6
Plot 2,E,o,15:51,1248.1,1324.7,1186.8,1221.9,1308.6,1129.6,1277.5,1193.5,1144.5,1333.1,1137.7,1238.8
Plot 2,E,i,15:53,1438.9,702.3,482,682,319.7,1303.1,1005.1,1484.3,761.1,769.3,1457.2,804
Plot 3,A,o,15:56,1233.3,1155,1104.1,1089.3,1261.6,1173.9,1143.8,1214.5,1177.2,1308.3,1147.4,1227.4
Plot 3,A,i,15:58,1275,643.3,1356.8,716.5,840,1302.2,414.2,1704.5,816.7,940,1441.6,849.9
Plot 4,E,o,16:02,1322.7,1126.9,1261.2,1227.1,1224.9,1162.2,1236,1394.2,1255.5,1382.6,1221.9,1113.4
Plot 4,E,i,16:04,1114.2,798.1,770,918.4,442.6,1459.2,855.2,1415.6,857.7,1113.6,1518.8,1087.1
Plot 1,A,o,17:48,133,256.6,147.1,377.4,305.1,126.3,310.5,117.7,345.5,359.3,202.8,366.5
Plot 1,A,i,17:50,58.6,55,58.2,57.7,54.5,60.1,55.5,66.9,102.5,64.5,87.8,69.3
Plot 2,E,o,17:53,71.9,72.6,61,69.3,70.4,278.3,107.8,195.3,283.1,375.5,248.5,392.2
Plot 2,E,i,17:55,117.9,67.9,107.5,125.8,99.8,97.2,74.8,84.8,81.5,297.7,89.5,149.9
Plot 3,A,o,18:00,574.3,533.3,455.3,294.2,231.6,466.9,243.3,394.6,356.3,205.1,270.4,174.9
Plot 3,A,i,18:03,231,129,209.2,110.7,92.3,206.4,129,182.9,243.3,418.3,181.3,136.8
Plot 4,E,o,18:05,541.3,235.5,616,384.6,371.1,129.9,155.8,223.7,321.6,240.2,528.9,339
Plot 4,E,i,18:07,484.7,152.9,342.9,201.6,118.3,290.5,214.2,328.4,263.6,119.3,299.1,138.3
Plot 1,A,o,19:44,31.9,31.3,30.6,31,29.5,31.2,29.1,31.2,29.9,30.6,29.7,30.5
