Plot,CO2Tmt,screen,time,A,B,C,D,E,F,G,H,I,J,K,L
Plot 1,A,i,5:45,18.7,18.7,18.3,18.2,18.5,18.2,18.1,18.7,18.3,18.8,18.8,18.8
Plot 1,A,o,5:48,17.1,16.6,18.3,16.6,17.1,18.5,18.1,19,18.3,18.3,17.5,18
Plot 2,E,i,5:51,18.3,17.4,17.9,17.3,17.9,18.2,17.4,18.4,17.3,18.5,18.3,19.2
Plot 2,E,o,5:52,17.1,17.8,18.6,17.4,17.8,18.5,18.7,18.8,18.6,19.2,17.7,18.9
Plot 3,A,i,5:53,18.3,17.4,18.5,18.1,18.5,17.8,18.1,18.8,17.7,19.2,18.3,18.7
Plot 3,A,o,5:54,17.6,17.7,19.3,16.9,16.8,18.3,18,17.7,17.8,16.8,18,17.7
Plot 4,E,i,5:56,17.6,17.7,17.3,17.6,18.4,17.5,17.6,18.1,17.6,17.5,18.3,17.7
Plot 4,E,o,5:57,17.6,18.2,16.4,17.4,18.5,18.1,17.2,17.7,17.4,17.2,16.5,18.1
Plot 1,A,o,8:09,30.5,34.9,27.8,33,35.4,33.3,33.4,26.9,31.4,35.1,32.5,32.9
Plot 1,A,i,8:11,24.2,26,24.6,25.3,31.7,24.3,27,28.1,25.9,31.4,24.9,27.3
Plot 2,E,o,8:12,24.5,26.7,24.8,24.8,33.9,30,30,25.5,27.7,29.9,28.7,27.9
Plot 2,E,i,8:14,25,30.3,25.6,29,32.8,27.7,29.6,27.2,29.1,31.2,26.5,30.5
Plot 3,A,o,8:16,27.4,33.2,26.4,33.1,33.4,31.1,30.1,29.9,29,31.9,27.6,32.6
Plot 3,A,i,8:17,22.4,24.5,22.6,23,25.1,22.1,23.6,22.6,22.7,24.4,22.6,24.2
Plot 4,E,o,8:19,19.4,19.7,19.1,19.6,19.8,19.7,19.6,19.6,19.4,19.6,19.3,19.1
Plot 4,E,i,8:20,21,21,20.8,20.7,21.4,20.9,20.8,21.2,20.6,21,21,21.1
Plot 1,A,o,10:13,49.4,53,46.3,50.8,54.2,45,50.4,46.9,50.8,53.6,53.4,52.1
Plot 1,A,i,10:15,36.7,48,33.1,43.1,56.2,38.8,49.2,40.4,43.1,53.5,41.9,49.9
Plot 2,E,o,10:17,45.3,48.1,45.4,51.9,48.9,51.3,50,50.1,51.2,50,56.5,50.9
Plot 2,E,i,10:19,45.1,45.6,44.7,41.2,59.5,42,54,38.2,53,55,38.8,58.1
Plot 3,A,o,10:21,50.2,51.6,45.5,50.4,47.3,51.8,48.7,52.4,47.4,49.2,49.7,50.3
Plot 3,A,i,10:22,39,48.2,39.4,43.3,54.4,40.4,49.5,36.4,41.7,50.7,41.2,44
Plot 4,E,o,10:23,50.3,50.4,51.2,46.3,44,52.4,51,52.5,49.8,48.2,52,49.9
Plot 4,E,i,10:25,56.7,64.3,46.2,51.3,61.3,41.7,50.1,40.7,35.1,55.5,34.3,39.4
Plot 1,A,o,12:07,61.1,60.4,58.7,60.1,66.1,57.8,60.5,60.6,64.2,67.1,67.8,66.4
Plot 1,A,i,12:09,55.4,60.2,54.8,55,67.3,54.2,60.2,57.3,56.9,68.6,60.5,65.1
Plot 2,E,o,12:10,64.6,62.5,62.9,66.7,62.2,62.8,61,64.2,64.7,62.2,68.8,57.9
Plot 2,E,i,12:14,60.4,66.6,61,60.1,68.8,60.8,62.2,61.1,63.3,64.1,60.9,66.9
Plot 3,A,o,12:16,63,63.6,59.8,64,59.9,58.1,59.7,60.9,57.1,62.1,61,61.7
Plot 3,A,i,12:17,60.2,60.9,59.8,57.5,64.5,58.8,60,59.3,59.1,61.4,60.2,64.6
Plot 4,E,o,12:19,65.1,60.4,63.4,62.3,64.5,64.6,66.9,62.1,61.6,59.2,65,63.1
Plot 4,E,i,12:21,69.9,71.7,68.9,60.5,70.2,63.5,65.6,63.4,60.9,61.4,56.4,62.2
Plot 1,A,o,14:11,61,59.2,59.4,61,63.3,60.6,61,65.2,66.5,63.3,65.5,67.9
Plot 1,A,i,14:12,43.5,41.7,45.2,44.7,44.8,44.5,46.1,48.8,46.5,52.3,50.9,52
Plot 2,E,o,14:14,66,62.1,63,65.4,64.4,64.2,63.1,64.4,64.3,67.2,63.7,65.5
Plot 2,E,i,14:16,51.5,51.7,55.1,49.6,44.2,46.5,50.5,50.3,46.7,48.3,50.1,55.2
Plot 3,A,o,14:18,62.4,65.3,59.5,66.6,65.6,63.3,63.2,66.2,61.6,70.6,65.7,61.8
Plot 3,A,i,14:20,66.6,48.4,62.6,61.7,55,60.4,63.2,69.7,62.4,62.4,69.1,68.3
Plot 4,E,o,14:22,67.6,63.9,67.9,65.5,58.8,68.2,67.4,66.2,68.6,68,67.5,72.6
Plot 4,E,i,14:24,63.5,60.2,69.7,66.1,50.3,68.9,66.3,66.5,67.2,69.6,66.5,76.5
Plot 1,A,o,16:09,61.1,57.7,60.5,60.5,50.1,59.2,49.1,61.1,51.5,46.6,52.4,47
Plot 1,A,i,16:10,51.1,43.7,60.1,48.3,45.9,53.6,50.4,60,50,47.3,61.8,47.5
Plot 2,E,o,16:11,61.5,58.7,60.3,61.2,58.7,58.8,59.9,59,59.4,56.4,55.6,57.2
Plot 2,E,i,16:13,63.3,49.5,63.6,49.8,46.3,55.8,50.9,61.2,49.7,49.6,47.5,46.3
